atom_id,title,subcluster,credential_objectives,primary_teks,priority,status,notes
binary-number-systems,Binary and hexadecimal number systems,it-support-services,comptia-itf-plus::1.1|google-it-support::c1m1|google-it-support::c2m2,130.302-c5D,1,planned,Foundational — reused across multiple credentials
data-types-computing,Fundamental data types in computing,it-support-services,comptia-itf-plus::1.2,130.302-c9D,1,planned,
computing-model-iopsp,Input-Processing-Output-Storage computing model,it-support-services,comptia-itf-plus::1.3|google-it-support::c1m1,130.302-c4A,1,planned,
data-value-and-ip,Value of data and intellectual property,it-support-services,comptia-itf-plus::1.4,130.302-c13C,1,planned,
units-of-measure-computing,Units of measure in computing,it-support-services,comptia-itf-plus::1.5,130.303-c4H,2,planned,
troubleshooting-methodology,IT troubleshooting methodology,it-support-services,comptia-itf-plus::1.6|google-it-support::c1m6,130.303-c4D,1,planned,Core skill across all IT work
hardware-components-overview,Computer hardware components overview,it-support-services,comptia-itf-plus::2.1|google-it-support::c1m2,130.302-c4A,1,planned,
peripheral-devices,Connecting and configuring peripheral devices,it-support-services,comptia-itf-plus::2.2|comptia-a-plus::core1::3.7,130.302-c4C,1,planned,
internal-components,Internal computer components (motherboard CPU RAM BIOS),it-support-services,comptia-itf-plus::2.3|comptia-a-plus::core1::3.5|google-it-support::c1m2,130.303-c5A,1,planned,
internet-service-types,Internet connection service types,it-support-services,comptia-itf-plus::2.4|comptia-a-plus::core1::2.7|google-it-support::c2m5,130.303-c8A,1,planned,
storage-technologies,Storage technologies (HDD SSD NVMe cloud),it-support-services,comptia-itf-plus::2.5|comptia-a-plus::core1::3.4,130.303-c4H,1,planned,
computing-devices-overview,Computing devices (laptops servers IoT),it-support-services,comptia-itf-plus::2.6,130.303-c5B,2,planned,
mobile-device-hardware,Mobile device hardware and connectivity,it-support-services,comptia-a-plus::core1::1.1|comptia-a-plus::core1::1.2|comptia-a-plus::core1::1.3,130.303-c5B,1,planned,
networking-fundamentals,Networking fundamentals and protocols,it-support-services,comptia-itf-plus::2.7|comptia-a-plus::core1::2.5|google-it-support::c2m1,130.302-c6A,1,planned,
wireless-network-installation,Installing and securing wireless networks,it-support-services,comptia-itf-plus::2.8|comptia-a-plus::core1::2.6|google-it-support::c2m5,130.304-c8B,1,planned,
tcp-udp-protocols,TCP/UDP ports and protocols,it-support-services,comptia-a-plus::core1::2.1|google-it-support::c2m3,130.302-c6B,1,planned,
wireless-technologies,Wireless networking technologies,it-support-services,comptia-a-plus::core1::2.2,130.302-c6B,2,planned,
networked-host-services,Services provided by networked hosts,it-support-services,comptia-a-plus::core1::2.3,130.302-c6C,2,planned,
network-configuration,Network configuration concepts (IP DNS DHCP),it-support-services,comptia-a-plus::core1::2.4|google-it-support::c2m2|google-it-support::c2m4,130.303-c8B,1,planned,
networking-tools,Networking tools and diagnostics,it-support-services,comptia-a-plus::core1::2.8,130.302-c6D,2,planned,
network-troubleshooting,Network troubleshooting,it-support-services,comptia-a-plus::core1::5.5|google-it-support::c2m6,130.302-c6D,1,planned,
ip-addressing-subnetting,IP addressing and subnetting,it-support-services,google-it-support::c2m2,130.302-c6B,1,planned,
dns-dhcp-services,DNS and DHCP services,it-support-services,google-it-support::c2m4,130.303-c8B,2,planned,
display-components,Display components and attributes,it-support-services,comptia-a-plus::core1::3.1,130.303-c4H,2,planned,
cables-and-connectors,Cable types and connectors,it-support-services,comptia-a-plus::core1::3.2,130.303-c4H,1,planned,
ram-fundamentals,RAM types and characteristics,it-support-services,comptia-a-plus::core1::3.3,130.303-c5A,1,planned,
motherboards-cpus-install,Installing motherboards CPUs and add-on cards,it-support-services,comptia-a-plus::core1::3.5,130.304-c5A,1,planned,Lab-focused
power-supplies,Power supplies and electrical fundamentals,it-support-services,comptia-a-plus::core1::3.6,130.303-c4C,2,planned,
printers-and-maintenance,Printers multifunction devices and maintenance,it-support-services,comptia-a-plus::core1::3.7|comptia-a-plus::core1::3.8,130.304-c5B,1,planned,
operating-systems-overview,Operating systems overview and purpose,it-support-services,comptia-itf-plus::3.1|comptia-itf-plus::3.2|comptia-a-plus::core2::1.1|google-it-support::c1m3,130.302-c5B,1,planned,
file-management,File management and file systems,it-support-services,comptia-a-plus::core2::1.4|google-it-support::c3m1,130.302-c5G,2,planned,
windows-editions,Microsoft Windows editions,it-support-services,comptia-a-plus::core2::1.3,130.303-c6B,3,planned,
windows-features-tools,Windows features and system tools,it-support-services,comptia-a-plus::core2::1.4,130.302-c5F,1,planned,
windows-cli,Windows command-line and PowerShell,it-support-services,comptia-a-plus::core2::1.5|google-it-support::c3m1,130.302-c5F,2,planned,
windows-settings,Configuring Windows settings,it-support-services,comptia-a-plus::core2::1.6,130.304-c7E,2,planned,
windows-networking-features,Windows client networking features,it-support-services,comptia-a-plus::core2::1.7,130.303-c8B,2,planned,
macos-features,macOS features and tools,it-support-services,comptia-a-plus::core2::1.8,130.303-c6B,2,planned,
linux-features,Linux client features and tools,it-support-services,comptia-a-plus::core2::1.9,130.303-c6B,2,planned,
os-installation,OS installation and upgrade procedures,it-support-services,comptia-a-plus::core2::1.2|google-it-support::c1m3,130.304-c7C,1,planned,
application-installation,Installing applications,it-support-services,comptia-a-plus::core2::1.10|google-it-support::c3m3,130.304-c7C,2,planned,
cloud-productivity-tools,Cloud-based productivity tools,it-support-services,comptia-a-plus::core2::1.11,130.303-c4J,3,planned,
user-permissions-acls,User accounts permissions and ACLs,it-support-services,google-it-support::c3m2,130.302-c5H,2,planned,
filesystems-partitioning,Filesystems and disk partitioning,it-support-services,google-it-support::c3m4,130.304-c6H,2,planned,
process-management,Process management and system resources,it-support-services,google-it-support::c3m5,130.302-c5F,2,planned,
remote-access-vms,Remote access and virtual machines,it-support-services,google-it-support::c3m6,130.303-c8B,2,planned,
productivity-software-types,Productivity collaboration and business software,it-support-services,comptia-itf-plus::3.3,130.302-c5A,2,planned,
application-architecture-cloud,Application architecture and cloud delivery models,it-support-services,comptia-itf-plus::3.4,130.303-c7D,2,planned,
web-browser-config,Web browser configuration and safety,it-support-services,comptia-itf-plus::3.5,130.302-c3C,1,planned,
software-licensing,Software licensing types,it-support-services,comptia-itf-plus::3.6|comptia-a-plus::core2::4.6,130.303-c7D,2,planned,
programming-languages-overview,Programming language categories,it-support-services,comptia-itf-plus::4.1|comptia-a-plus::core2::4.9,130.302-c9A,2,planned,
algorithms-and-logic,Algorithms flowcharts and control flow,it-support-services,comptia-itf-plus::4.2,130.302-c9F,2,planned,
programming-concepts,Programming concepts (identifiers functions objects),it-support-services,comptia-itf-plus::4.3,130.302-c9E,3,planned,
database-concepts,Database concepts and purpose,it-support-services,comptia-itf-plus::5.1,130.302-c10A,2,planned,
database-structures,Database structures (relational non-relational),it-support-services,comptia-itf-plus::5.2,130.302-c10D,2,planned,
database-queries,Database interfaces and query languages,it-support-services,comptia-itf-plus::5.3,130.302-c10C,2,planned,
virtualization-concepts,Virtualization concepts,it-support-services,comptia-a-plus::core1::4.1,130.303-c4J,2,planned,
cloud-computing,Cloud computing concepts,it-support-services,comptia-a-plus::core1::4.2|google-it-support::c4m3,130.303-c4J,1,planned,
cia-triad,CIA triad (confidentiality integrity availability),it-support-services,comptia-itf-plus::6.1|google-it-support::c5m1,130.302-c5H,1,planned,Security foundation
device-security-practices,Device security best practices,it-support-services,comptia-itf-plus::6.2,130.304-c7G,1,planned,
behavioral-security,Behavioral security and privacy policies,it-support-services,comptia-itf-plus::6.3,130.302-c13A,2,planned,
aaa-non-repudiation,Authentication authorization accounting non-repudiation,it-support-services,comptia-itf-plus::6.4|google-it-support::c5m3,130.302-c5H,1,planned,
password-best-practices,Password best practices,it-support-services,comptia-itf-plus::6.5,130.302-c5H,1,planned,
encryption-fundamentals,Encryption fundamentals,it-support-services,comptia-itf-plus::6.6|google-it-support::c5m2,130.302-c3F,1,planned,
business-continuity-dr,Business continuity and disaster recovery,it-support-services,comptia-itf-plus::6.7|comptia-a-plus::core2::4.3|google-it-support::c4m5,130.304-c9A,1,planned,
security-measures-overview,Security measures and their purposes,it-support-services,comptia-a-plus::core2::2.1,130.304-c7G,2,planned,
windows-security-settings,Windows security settings,it-support-services,comptia-a-plus::core2::2.2,130.304-c7G,2,planned,
wireless-security-protocols,Wireless security protocols (WPA2 WPA3),it-support-services,comptia-a-plus::core2::2.3,130.304-c8B,1,planned,
malware-types-removal,Malware types detection and removal,it-support-services,comptia-a-plus::core2::2.4|comptia-a-plus::core2::2.6|google-it-support::c5m1,130.302-c5I,1,planned,
social-engineering,Social engineering attacks and threats,it-support-services,comptia-a-plus::core2::2.5,130.302-c3G,1,planned,
workstation-security-hardening,Workstation security and hardening,it-support-services,comptia-a-plus::core2::2.7|google-it-support::c5m5,130.304-c7G,1,planned,
mobile-device-security,Mobile device security,it-support-services,comptia-a-plus::core2::2.8,130.304-c7G,2,planned,
data-destruction-disposal,Data destruction and disposal methods,it-support-services,comptia-a-plus::core2::2.9,130.304-c3C,2,planned,
soho-network-security,SOHO network security settings,it-support-services,comptia-a-plus::core2::2.10,130.304-c8B,2,planned,
browser-security,Browser security settings,it-support-services,comptia-a-plus::core2::2.11,130.302-c3G,2,planned,
network-hardening,Network hardening and monitoring,it-support-services,google-it-support::c5m4,130.304-c7G,2,planned,
troubleshoot-motherboard-ram-cpu,Troubleshooting motherboards RAM CPUs and power,it-support-services,comptia-a-plus::core1::5.1,130.303-c4D,1,planned,
troubleshoot-storage,Troubleshooting storage and RAID,it-support-services,comptia-a-plus::core1::5.2,130.304-c6A,1,planned,
troubleshoot-display,Troubleshooting display issues,it-support-services,comptia-a-plus::core1::5.3,130.304-c4E,2,planned,
troubleshoot-mobile-hw,Troubleshooting mobile device issues,it-support-services,comptia-a-plus::core1::5.4,130.303-c5D,2,planned,
troubleshoot-printers,Troubleshooting printer issues,it-support-services,comptia-a-plus::core1::5.6,130.304-c4E,2,planned,
troubleshoot-windows,Troubleshooting Windows OS,it-support-services,comptia-a-plus::core2::3.1,130.304-c6E,1,planned,
troubleshoot-mobile-os,Troubleshooting mobile OS and apps,it-support-services,comptia-a-plus::core2::3.2,130.303-c5D,2,planned,
troubleshoot-mobile-security,Troubleshooting mobile security issues,it-support-services,comptia-a-plus::core2::3.3,130.304-c7G,2,planned,
troubleshoot-pc-security,Troubleshooting PC security issues,it-support-services,comptia-a-plus::core2::3.4,130.302-c5I,1,planned,
documentation-support-systems,Documentation and ticketing systems,it-support-services,comptia-a-plus::core2::4.1|google-it-support::c1m6,130.304-c7F,1,planned,
change-management,Change management procedures,it-support-services,comptia-a-plus::core2::4.2,130.302-c1G,2,planned,
safety-procedures-it,Safety procedures in IT work,it-support-services,comptia-a-plus::core2::4.4,130.304-c3A,1,planned,
environmental-impacts-it,Environmental impacts and e-waste,it-support-services,comptia-a-plus::core2::4.5,130.303-c4I,2,planned,
remote-access-technologies,Remote access technologies,it-support-services,comptia-a-plus::core2::4.8,130.303-c8B,2,planned,
scripting-basics,Scripting basics (batch shell PowerShell),it-support-services,comptia-a-plus::core2::4.9,130.302-c9A,2,planned,
ai-concepts-in-it,AI concepts and uses in IT support,it-support-services,comptia-a-plus::core2::4.10,130.303-c4J,3,planned,
sysadmin-roles,System administration roles and responsibilities,it-support-services,google-it-support::c4m1,130.303-c2A,3,planned,
active-directory-gpo,Active Directory and Group Policy,it-support-services,google-it-support::c4m4,130.302-c5H,3,planned,
word-processing-fundamentals,Word processing fundamentals,it-support-services,,130.302-c7A|130.302-c7B,1,gap,Priority 1 — state compliance
creating-professional-documents,Creating professional documents,it-support-services,,130.302-c7C,1,gap,Priority 1 — state compliance
spreadsheet-fundamentals,Spreadsheet fundamentals,it-support-services,,130.302-c8A|130.302-c8B,1,gap,Priority 1 — state compliance
spreadsheet-functions,Spreadsheet functions for financial documents,it-support-services,,130.302-c8C,1,gap,Priority 1 — state compliance
csv-files,CSV files and data interchange,it-support-services,,130.302-c8D,1,gap,Priority 1 — state compliance
advanced-spreadsheet-features,Advanced spreadsheet features and data analysis,it-support-services,,130.302-c8E|130.302-c8F,1,gap,Priority 1 — state compliance
presentation-software-fundamentals,Presentation software fundamentals,it-support-services,,130.302-c11A,1,gap,Priority 1 — state compliance
creating-presentations,Creating and producing presentations,it-support-services,,130.302-c11B,1,gap,Priority 1 — state compliance
web-design-terminology,Web design terminology and interactive media,it-support-services,,130.302-c12A,2,gap,Priority 2 — state compliance
visual-design-elements,Visual design elements,it-support-services,,130.302-c12B,2,gap,Priority 2 — state compliance
design-principles,Design principles,it-support-services,,130.302-c12C,2,gap,Priority 2 — state compliance
html-fundamentals,HTML fundamentals,it-support-services,,130.302-c12D,2,gap,Priority 2 — state compliance
build-web-page,Build a basic web page,it-support-services,,130.302-c12E,2,gap,Priority 2 — state compliance
work-behaviors-professional-standards,Professional work behaviors in IT,it-support-services,,130.302-c1A|130.304-c1A|130.304-c1B,3,gap,Priority 3 — employability reusable
professional-communication-it,Professional communication in IT support,it-support-services,comptia-a-plus::core2::4.7,130.302-c1B|130.302-c1C|130.303-c1A|130.303-c1B|130.304-c1C|130.304-c1D,3,planned,Priority 3 — employability reusable
critical-thinking-problem-solving,Critical thinking and problem solving in IT,it-support-services,,130.302-c1D|130.303-c1C|130.304-c1E,3,gap,Priority 3 — employability reusable
leadership-and-teamwork-it,Leadership and teamwork in IT environments,it-support-services,,130.302-c1E|130.303-c1D|130.304-c1F,3,gap,Priority 3 — employability reusable
career-exploration-it-pathway,Career exploration in the IT pathway,it-support-services,,130.302-c2A|130.302-c2B|130.302-c2C|130.303-c2B,3,gap,Priority 3 — employability reusable
